'N Sync & Gloria Estefan
'N Sync & Nelly
112 & Foxy Brown
112 & Lil'z
112 & Ludacris
112 & Mase
112 & Super Cat
112 & The Notorious B.I.G.
Migos & Big Sean
Migos & Travis Scott 
Migos & Ty Dolla $ign 
Nicki Minaj & Chris Brown
Nicki Minaj & Drake 
Nicki Minaj & Lil Wayne 
